2013-12-22 16:31:12,993 [New I/O client worker #4-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/slf4j/slf4j-simple/1.7.5/slf4j-simple-1.7.5.jar
2013-12-22 16:31:13,865 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:31:13,960 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-22 16:31:13,979 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:31:13,992 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\wks\DynamicFlameWebsite\DynamicFlame\src\test\resources
2013-12-22 16:31:14,002 [Worker-72] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of DynamicFlame
2013-12-22 16:31:14,003 [Worker-72] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for DynamicFlame
2013-12-22 16:31:14,030 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:32:07,110 [Worker-61] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for DynamicFlame
2013-12-22 16:32:07,448 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:32:07,464 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-22 16:32:07,471 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:32:07,485 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\wks\DynamicFlameWebsite\DynamicFlame\src\test\resources
2013-12-22 16:32:08,869 [Worker-62] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.amilne.core:DynamicFlame:1.0-SNAPSHOT @ C:\wks\DynamicFlameWebsite\DynamicFlame\pom.xml.
2013-12-22 16:32:09,371 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:32:09,397 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-22 16:32:09,403 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:32:09,423 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\wks\DynamicFlameWebsite\DynamicFlame\src\test\resources
2013-12-22 16:32:41,484 [Worker-75] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.amilne.core:DynamicFlame:1.0-SNAPSHOT @ C:\wks\DynamicFlameWebsite\DynamicFlame\pom.xml.
2013-12-22 16:32:42,064 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:32:42,082 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-22 16:32:42,100 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:32:42,109 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\wks\DynamicFlameWebsite\DynamicFlame\src\test\resources
2013-12-22 16:32:42,118 [Worker-75] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of DynamicFlame
2013-12-22 16:32:42,118 [Worker-75] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for DynamicFlame
2013-12-22 16:32:42,131 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:33:14,677 [Worker-59] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2013-12-22 16:33:14,891 [Worker-59] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.amilne.core:DynamicFlame:1.0-SNAPSHOT @ C:\wks\DynamicFlameWebsite\DynamicFlame\pom.xml.
2013-12-22 16:33:15,326 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DynamicFlame/src/main/java
2013-12-22 16:33:15,335 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /DynamicFlame/src/main/resources overlaps with sources folder /DynamicFlame/src/main/resources
2013-12-22 16:33:15,346 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DynamicFlame/src/test/java
2013-12-22 16:33:15,872 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:33:15,891 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
